Region,Market,Chart,Name,Unit,Source,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Consumption Indicators,Disposable Income ,Disposable Income ,trillion EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,1.95,2.39,2.5,2.71,3.03,3.28,3.44,3.58,3.73,3.85,3.96
France,Consumption Indicators,Disposable Income ,Disposable Income ,trillion EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,1.25,1.49,1.56,1.62,1.75,1.87,1.93,2,2.08,2.15,2.21
Germany,Consumption Indicators,Disposable Income - Per Capita,Disposable Income - Per Capita,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,23.32,28.43,29.53,32.03,36.01,39.21,41.19,43.06,44.9,46.53,47.98
France,Consumption Indicators,Disposable Income - Per Capita,Disposable Income - Per Capita,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,18.96,22.5,23.5,24.36,26.23,27.97,28.95,29.95,30.99,31.98,32.85
Germany,Consumption Indicators,Global Consumers Share,Global Consumers Share,percent,Statista Market Insights,93.95,96.51,96,96.48,97.21,97.57,97.71,97.81,97.88,97.93,97.99
France,Consumption Indicators,Global Consumers Share,Global Consumers Share,percent,Statista Market Insights,94.83,96.03,96.29,96.37,96.95,97.25,97.31,97.36,97.41,97.44,97.5
Germany,Consumption Indicators,Disposable Income by Decile - Per Capita,Decile 10,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,69.63,84.26,89.8,98.37,110.94,121.14,127.56,133.62,139.59,144.93,149.67
France,Consumption Indicators,Disposable Income by Decile - Per Capita,Decile 10,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,57.92,68.57,69.92,72.37,78.26,83.78,87.04,90.38,93.9,97.25,100.28
Germany,Consumption Indicators,Disposable Income by Decile - Per Capita,Decile 4,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,12.94,15.78,16.03,17.21,19.29,20.96,21.98,22.95,23.9,24.75,25.5
France,Consumption Indicators,Disposable Income by Decile - Per Capita,Decile 4,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,10.85,12.85,13.65,14.13,15.16,16.11,16.61,17.13,17.67,18.17,18.61
