Region,Market,Chart,Name,Unit,Source,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Digital & Connectivity Indicators,Secure Internet Servers,Secure Internet Servers,million #,Statista Market Insights|World Bank,9.43,10.55,11.66,12.7,12.48,13.13,13.72,14.22,14.63,14.95,15.2
France,Digital & Connectivity Indicators,Secure Internet Servers,Secure Internet Servers,million #,Statista Market Insights|World Bank,2.69,3.23,3.56,3.93,3.89,4.2,4.52,4.84,5.17,5.49,5.82
Germany,Digital & Connectivity Indicators,4G Network Coverage,4G Network Coverage,percent,Statista Market Insights|ITU - International Telecommunication Union,99.83,99.9,99.96,100,100,100,100,100,100,100,100
France,Digital & Connectivity Indicators,4G Network Coverage,4G Network Coverage,percent,Statista Market Insights|ITU - International Telecommunication Union,99,99,99,98.76,99.46,100,100,100,100,100,100
Germany,Digital & Connectivity Indicators,3G Network Coverage,3G Network Coverage,percent,Statista Market Insights|ITU - International Telecommunication Union,99.83,99.9,99.96,99.84,100,100,100,100,100,100,100
France,Digital & Connectivity Indicators,3G Network Coverage,3G Network Coverage,percent,Statista Market Insights|ITU - International Telecommunication Union,99,99,99,99.43,99.75,100,100,100,100,100,100
Germany,Digital & Connectivity Indicators,Average Broadband Connection Speed,Average Broadband Connection Speed,thousand kbit/s,Statista Market Insights|World Bank|Open Signal,62,74.7,83.69,91.9,99.28,105.92,111.9,117.29,122.13,126.49,130.41
France,Digital & Connectivity Indicators,Average Broadband Connection Speed,Average Broadband Connection Speed,thousand kbit/s,Statista Market Insights|World Bank|Open Signal,88.02,122.89,156.11,174.97,191.94,207.22,220.96,233.34,244.47,254.49,263.51
Germany,Digital & Connectivity Indicators,ICT Service Exports - Per Capita,ICT Service Exports - Per Capita,EUR (€),Statista Market Insights|World Bank|IMF,430.52,488.36,545.39,591.83,584.39,609,636.54,665.48,695.22,723.41,751.79
France,Digital & Connectivity Indicators,ICT Service Exports - Per Capita,ICT Service Exports - Per Capita,EUR (€),Statista Market Insights|World Bank|IMF,330.24,373.32,400.38,424.73,424.63,434.01,445.52,458.13,470.86,483.19,495.94
Germany,Digital & Connectivity Indicators,ICT Equipment - Consumer Spending,ICT Equipment - Consumer Spending,billion EUR (€),Statista Market Insights|World Bank,19.26,20.11,21.14,21.59,23.03,24.32,24.98,25.62,26.29,26.89,27.41
France,Digital & Connectivity Indicators,ICT Equipment - Consumer Spending,ICT Equipment - Consumer Spending,billion EUR (€),Statista Market Insights|World Bank,10.26,9.99,10.74,10.91,11.39,11.78,11.83,11.89,11.97,12.01,12
Germany,Digital & Connectivity Indicators,Number Of Internet Users,Number Of Internet Users,million #,Statista Market Insights|ITU - International Telecommunication Union,70.69,71.71,72.81,75.52,77.51,79.37,81.27,81.56,81.35,81.13,80.9
France,Digital & Connectivity Indicators,Number Of Internet Users,Number Of Internet Users,million #,Statista Market Insights|ITU - International Telecommunication Union,55.94,55.91,55.86,58.03,59.99,61.83,63.55,65.14,65.68,65.77,65.85
Germany,Digital & Connectivity Indicators,Number Of Mobile Internet Users,Number Of Mobile Internet Users,million #,Statista Market Insights|World Bank,68.57,69.56,70.62,73.26,75.19,76.99,78.83,79.12,78.9,78.69,78.47
France,Digital & Connectivity Indicators,Number Of Mobile Internet Users,Number Of Mobile Internet Users,million #,Statista Market Insights|World Bank,51.52,53.29,54.18,56.29,58.19,59.98,61.64,63.19,63.71,63.79,63.88
Germany,Digital & Connectivity Indicators,Internet Penetration,Internet Penetration,percent,Statista Market Insights|ITU - International Telecommunication Union,84.46,85.28,86.11,89.32,92.19,94.89,97.39,98,98,98,98
France,Digital & Connectivity Indicators,Internet Penetration,Internet Penetration,percent,Statista Market Insights|ITU - International Telecommunication Union,84.65,84.36,84.07,87.2,90,92.64,95.08,97.33,98,98,98
Germany,Digital & Connectivity Indicators,Internet Access At Home,Internet Access At Home,percent,Statista Market Insights|ITU - International Telecommunication Union,91.88,91.41,91.66,92.65,96.95,100,100,100,100,100,100
France,Digital & Connectivity Indicators,Internet Access At Home,Internet Access At Home,percent,Statista Market Insights|ITU - International Telecommunication Union,87.23,87.25,88.14,93.5,96.85,100,100,100,100,100,100
Germany,Digital & Connectivity Indicators,Households With Internet Access,Households With Internet Access,million #,Statista Market Insights|ITU - International Telecommunication Union,38.05,38.14,38.52,39,40.64,41.76,41.71,41.64,41.57,41.5,41.41
France,Digital & Connectivity Indicators,Households With Internet Access,Households With Internet Access,million #,Statista Market Insights|ITU - International Telecommunication Union,26.56,26.57,26.92,28.63,29.73,30.76,30.83,30.89,30.95,31.01,31.06
Germany,Digital & Connectivity Indicators,Number Of Telephone Subscriptions,Number Of Telephone Subscriptions,million #,Statista Market Insights|ITU - International Telecommunication Union,38.49,38.58,38.7,38.28,37.57,36.94,36.46,36.03,35.63,35.27,34.94
France,Digital & Connectivity Indicators,Number Of Telephone Subscriptions,Number Of Telephone Subscriptions,million #,Statista Market Insights|ITU - International Telecommunication Union,38.08,37.87,37.28,36.9,36.74,36.63,36.54,36.49,36.45,36.43,36.42
Germany,Digital & Connectivity Indicators,Telephone Subscriptions Per 100 Inhabitants,Telephone Subscriptions Per 100 Inhabitants,#,Statista Market Insights|ITU - International Telecommunication Union,45.99,45.88,45.77,45.27,44.68,44.16,43.7,43.29,42.93,42.61,42.32
France,Digital & Connectivity Indicators,Telephone Subscriptions Per 100 Inhabitants,Telephone Subscriptions Per 100 Inhabitants,#,Statista Market Insights|ITU - International Telecommunication Union,57.63,57.14,56.11,55.44,55.13,54.88,54.68,54.51,54.39,54.28,54.2
Germany,Digital & Connectivity Indicators,Mobile Subscriptions Per 100 Inhabitants,Mobile Subscriptions Per 100 Inhabitants,#,Statista Market Insights|ITU - International Telecommunication Union,127.13,124.16,124.66,125.17,126.03,126.73,127.38,127.98,128.54,129.05,129.53
France,Digital & Connectivity Indicators,Mobile Subscriptions Per 100 Inhabitants,Mobile Subscriptions Per 100 Inhabitants,#,Statista Market Insights|ITU - International Telecommunication Union,113.95,115.95,116.69,116.31,117.41,118.57,119.71,120.81,121.87,122.88,123.85
Germany,Digital & Connectivity Indicators,Number Of Cellular Subscriptions,Number Of Cellular Subscriptions,million #,Statista Market Insights|ITU - International Telecommunication Union,106.4,104.4,105.4,105.83,105.96,106,106.29,106.52,106.7,106.83,106.93
France,Digital & Connectivity Indicators,Number Of Cellular Subscriptions,Number Of Cellular Subscriptions,million #,Statista Market Insights|ITU - International Telecommunication Union,75.3,76.85,77.53,77.4,78.26,79.14,80.01,80.86,81.68,82.46,83.22
Germany,Digital & Connectivity Indicators,Bank Account Penetration,Bank Account Penetration,percent,Statista Market Insights|World Bank,99.98,99.41,98.85,98.3,97.98,98.25,98.55,98.81,99.05,99.28,99.5
France,Digital & Connectivity Indicators,Bank Account Penetration,Bank Account Penetration,percent,Statista Market Insights|World Bank,99.24,99.23,99.21,99.19,99.1,99.24,99.37,99.49,99.59,99.68,99.76
Germany,Digital & Connectivity Indicators,Online Banking Penetration,Online Banking Penetration,percent,Statista Market Insights|World Bank|Eurostat,56.15,48.58,57.22,66.92,78.26,91.53,99,99,99,99,99
France,Digital & Connectivity Indicators,Online Banking Penetration,Online Banking Penetration,percent,Statista Market Insights|World Bank|Eurostat,71.6,67.86,72.41,71.88,71.35,70.83,70.31,69.8,69.29,68.78,68.28
Germany,Digital & Connectivity Indicators,Debit Card Penetration,Debit Card Penetration,percent,Statista Market Insights|World Bank,94.01,94,94.31,94.62,94.92,95.2,95.46,95.71,95.94,96.16,96.37
France,Digital & Connectivity Indicators,Debit Card Penetration,Debit Card Penetration,percent,Statista Market Insights|World Bank,86.34,86.22,86.56,86.88,87.19,87.46,87.71,87.93,88.13,88.3,88.46
Germany,Digital & Connectivity Indicators,Credit Card Penetration,Credit Card Penetration,percent,Statista Market Insights|World Bank,56.52,56.39,57.18,58.03,58.88,59.71,60.52,61.31,62.07,62.81,63.52
France,Digital & Connectivity Indicators,Credit Card Penetration,Credit Card Penetration,percent,Statista Market Insights|World Bank,39.76,39.77,39.66,39.56,39.48,39.42,39.37,39.34,39.31,39.3,39.29
