Region,Market,Chart,Name,Unit,Source,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Infrastructure Indicators,Access To Electricity - Total Population,Access To Electricity - Total Population,percent,Statista Market Insights|World Bank|IEA - International Energy Agency,100,100,100,100,100,100,100,100,100,100,100
France,Infrastructure Indicators,Access To Electricity - Total Population,Access To Electricity - Total Population,percent,Statista Market Insights|World Bank|IEA - International Energy Agency,100,100,100,100,100,100,100,100,100,100,100
Germany,Infrastructure Indicators,Access To Electricity - Urban Population,Access To Electricity - Urban Population,percent,Statista Market Insights|World Bank|IEA - International Energy Agency,100,100,100,100,100,100,100,100,100,100,100
France,Infrastructure Indicators,Access To Electricity - Urban Population,Access To Electricity - Urban Population,percent,Statista Market Insights|World Bank|IEA - International Energy Agency,100,100,100,100,100,100,100,100,100,100,100
Germany,Infrastructure Indicators,Access To Electricity - Rural Population,Access To Electricity - Rural Population,percent,Statista Market Insights|World Bank|IEA - International Energy Agency,100,100,100,100,100,100,100,100,100,100,100
France,Infrastructure Indicators,Access To Electricity - Rural Population,Access To Electricity - Rural Population,percent,Statista Market Insights|World Bank|IEA - International Energy Agency,100,100,100,100,100,100,100,100,100,100,100
Germany,Infrastructure Indicators,Access To Basic Drinking Water - Total Population,Access To Basic Drinking Water - Total Population,percent,Statista Market Insights|World Bank|WHO|UNICEF - United Nations International Children’s Emergency Fund,100,100,99.95,99.89,99.83,99.76,99.7,99.63,99.57,99.5,99.44
France,Infrastructure Indicators,Access To Basic Drinking Water - Total Population,Access To Basic Drinking Water - Total Population,percent,Statista Market Insights|World Bank|WHO|UNICEF - United Nations International Children’s Emergency Fund,100,100,99.94,99.88,99.82,99.75,99.68,99.61,99.54,99.48,99.41
Germany,Infrastructure Indicators,Access To Basic Drinking Water - Urban Population,Access To Basic Drinking Water - Urban Population,percent,Statista Market Insights|World Bank|WHO|WHO - World Health Organization,100,100,99.93,99.86,99.78,99.7,99.62,99.54,99.46,99.38,99.31
France,Infrastructure Indicators,Access To Basic Drinking Water - Urban Population,Access To Basic Drinking Water - Urban Population,percent,Statista Market Insights|World Bank|WHO|WHO - World Health Organization,100,100,99.93,99.86,99.78,99.7,99.62,99.54,99.46,99.38,99.31
Germany,Infrastructure Indicators,Access To Basic Drinking Water - Rural Population,Access To Basic Drinking Water - Rural Population,percent,Statista Market Insights|World Bank|WHO|Leading international research institutes,100,100,100,99.99,99.99,99.98,99.98,99.97,99.96,99.96,99.95
France,Infrastructure Indicators,Access To Basic Drinking Water - Rural Population,Access To Basic Drinking Water - Rural Population,percent,Statista Market Insights|World Bank|WHO|Leading international research institutes,100,100,100,99.99,99.99,99.98,99.98,99.97,99.96,99.96,99.95
Germany,Infrastructure Indicators,Access To Basic Sanitation - Total Population,Access To Basic Sanitation - Total Population,percent,Statista Market Insights|World Bank|WHO|Führende internationale Forschungsinstitute,99.22,99.22,99.22,99.22,99.22,99.22,99.23,99.23,99.23,99.23,99.23
France,Infrastructure Indicators,Access To Basic Sanitation - Total Population,Access To Basic Sanitation - Total Population,percent,Statista Market Insights|World Bank|WHO|Führende internationale Forschungsinstitute,98.65,98.65,98.64,98.64,98.64,98.64,98.64,98.64,98.64,98.64,98.64
Germany,Infrastructure Indicators,Access To Basic Sanitation - Urban Population,Access To Basic Sanitation - Urban Population,percent,Statista Market Insights|World Bank|WHO|Leading national research institutes,99.29,99.29,99.29,99.29,99.29,99.29,99.29,99.29,99.29,99.29,99.29
France,Infrastructure Indicators,Access To Basic Sanitation - Urban Population,Access To Basic Sanitation - Urban Population,percent,Statista Market Insights|World Bank|WHO|Leading national research institutes,98.59,98.59,98.59,98.59,98.59,98.59,98.59,98.59,98.59,98.59,98.59
Germany,Infrastructure Indicators,Access To Basic Sanitation - Rural Population,Access To Basic Sanitation - Rural Population,percent,Statista Market Insights|World Bank|WHO|Führende nationale Forschungsinstitute,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.99
France,Infrastructure Indicators,Access To Basic Sanitation - Rural Population,Access To Basic Sanitation - Rural Population,percent,Statista Market Insights|World Bank|WHO|Führende nationale Forschungsinstitute,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.89
Germany,Infrastructure Indicators,Air Passengers,Air Passengers,million #,Statista Market Insights|World Bank|ICAO - International Civil Aviation Organization,73.6,155.3,185.28,199.56,220.22,241.24,263.27,285.65,308.35,331.35,354.6
France,Infrastructure Indicators,Air Passengers,Air Passengers,million #,Statista Market Insights|World Bank|ICAO - International Civil Aviation Organization,66.03,136.56,160.06,167.39,186.47,206.13,226.38,247.23,268.65,290.61,313.04
Germany,Infrastructure Indicators,Registered Carrier Departures,Registered Carrier Departures,thousand #,Statista Market Insights|World Bank|ICAO - International Civil Aviation Organization,368.4,480.85,481.13,474.74,464.45,454.45,446.19,427.8,411.76,397.76,385.45
France,Infrastructure Indicators,Registered Carrier Departures,Registered Carrier Departures,thousand #,Statista Market Insights|World Bank|ICAO - International Civil Aviation Organization,332.17,231.74,238.26,238.6,238.81,239.26,240.09,235.42,231.77,228.94,226.76
Germany,Infrastructure Indicators,Rail Lines,Rail Lines,million meter,Statista Market Insights|World Bank,33.4,33.56,33.67,33.6,33.34,33.1,32.95,32.79,32.64,32.49,32.34
France,Infrastructure Indicators,Rail Lines,Rail Lines,million meter,Statista Market Insights|World Bank,27.72,27.81,27.66,27.46,27.25,27.03,26.8,26.57,26.34,26.11,25.88
