Region,Market,Chart,Name,Unit,Source,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Socioeconomic Indicators,Number Of Households,Number Of Households,million #,Statista Market Insights|International statistical offices|National statistical offices,,41.41,41.72,42.03,42.1,41.92,41.76,41.71,41.64,41.57,41.5,41.41
France,Socioeconomic Indicators,Number Of Households,Number Of Households,million #,Statista Market Insights|International statistical offices|National statistical offices,,30.44,30.45,30.55,30.62,30.7,30.76,30.83,30.89,30.95,31.01,31.06
Germany,Socioeconomic Indicators,Total Population,Total Population,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,83.7,84.09,84.55,84.55,84.08,83.64,83.44,83.23,83.01,82.78,82.55
France,Socioeconomic Indicators,Total Population,Total Population,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,66.08,66.28,66.44,66.55,66.65,66.75,66.84,66.93,67.02,67.11,67.19
Germany,Socioeconomic Indicators,Population By Age,65-74 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,9.07,9.39,9.69,9.94,10.16,10.4,10.68,10.97,11.28,11.56,11.8
France,Socioeconomic Indicators,Population By Age,65-74 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,7.5,7.52,7.53,7.54,7.56,7.59,7.62,7.65,7.71,7.75,7.78
Germany,Socioeconomic Indicators,Population By Age,25-34 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,10.5,10.43,10.34,10.12,9.77,9.46,9.26,9.08,8.95,8.86,8.78
France,Socioeconomic Indicators,Population By Age,25-34 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,7.63,7.62,7.63,7.63,7.63,7.66,7.72,7.82,7.96,8.12,8.29
Germany,Socioeconomic Indicators,Population By Age,45-54 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,11.4,11.08,10.82,10.55,10.32,10.19,10.15,10.19,10.26,10.35,10.44
France,Socioeconomic Indicators,Population By Age,45-54 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,8.59,8.54,8.52,8.47,8.43,8.37,8.29,8.18,8.08,8.02,8.01
Germany,Socioeconomic Indicators,Population By Age,35-44 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,10.46,10.65,10.87,11.01,11.03,10.99,10.92,10.82,10.7,10.56,10.4
France,Socioeconomic Indicators,Population By Age,35-44 Years,million #,Statista Market Insights|UN DESA - United Nations Department of Economic and Social Affairs|National statistical offices,,8.13,8.14,8.13,8.09,8.01,7.92,7.82,7.74,7.65,7.57,7.49
